Key.caps_lock 	 at 14:04:47
'ô' 	 at 14:04:49
'û' 	 at 14:04:49
'â' 	 at 14:04:49
'û' 	 at 14:04:49
'ô' 	 at 14:04:49
'â' 	 at 14:04:49
Key.shift 	 at 14:04:49
'Ô' 	 at 14:04:50
'Û' 	 at 14:04:50
'Â' 	 at 14:04:50
'Ô' 	 at 14:04:51
'Û' 	 at 14:04:51
Key.alt_l 	 at 14:04:52
Key.tab 	 at 14:04:52
Key.alt_l 	 at 14:04:52
Key.tab 	 at 14:04:53
Key.tab 	 at 14:04:53
Key.alt_l 	 at 14:04:55
Key.tab 	 at 14:04:55
Key.alt_l 	 at 14:04:56
Key.tab 	 at 14:04:56
Key.tab 	 at 14:04:56
Key.shift 	 at 14:04:57
'"' 	 at 14:04:57
'"' 	 at 14:04:58
'"' 	 at 14:04:58
Key.caps_lock 	 at 14:04:59
Key.shift 	 at 14:04:59
'"' 	 at 14:04:59
'"' 	 at 14:05:00
'"' 	 at 14:05:00
Key.caps_lock 	 at 14:05:00
Key.shift 	 at 14:05:01
'"' 	 at 14:05:01
'"' 	 at 14:05:01
'"' 	 at 14:05:01
Key.caps_lock 	 at 14:05:01
Key.shift 	 at 14:05:02
'"' 	 at 14:05:02
'"' 	 at 14:05:02
'"' 	 at 14:05:02
'"' 	 at 14:05:03
'"' 	 at 14:05:03
'"' 	 at 14:05:03
'"' 	 at 14:05:03
'"' 	 at 14:05:04
'2' 	 at 14:05:05
'2' 	 at 14:05:05
'2' 	 at 14:05:05
Key.shift 	 at 14:05:05
'"' 	 at 14:05:06
'"' 	 at 14:05:06
'"' 	 at 14:05:06
'"' 	 at 14:05:06
'"' 	 at 14:05:06
'"' 	 at 14:05:07
'"' 	 at 14:05:07
'ê' 	 at 14:06:11
'ò' 	 at 14:06:11
'î' 	 at 14:06:11
Key.space 	 at 14:06:12
'â' 	 at 14:06:12
Key.space 	 at 14:06:12
'ñ' 	 at 14:06:12
'î' 	 at 14:06:12
'ñ' 	 at 14:06:12
'ò' 	 at 14:06:13
'î' 	 at 14:06:13
'ÿ' 	 at 14:06:13
'í' 	 at 14:06:13
'è' 	 at 14:06:13
'è' 	 at 14:06:13
Key.space 	 at 14:06:14
'î' 	 at 14:06:14
'á' 	 at 14:06:14
'ú' 	 at 14:06:15
'ÿ' 	 at 14:06:15
'ñ' 	 at 14:06:15
'í' 	 at 14:06:15
'è' 	 at 14:06:15
'ò' 	 at 14:06:16
'ü' 	 at 14:06:16
Key.space 	 at 14:06:16
'ì' 	 at 14:06:16
'í' 	 at 14:06:16
'å' 	 at 14:06:16
Key.space 	 at 14:06:16
Key.ctrl_l 	 at 14:06:17
'\x01' 	 at 14:06:17
Key.shift 	 at 14:06:17
Key.pause 	 at 14:06:17
Key.ctrl_l 	 at 14:06:17
'\x03' 	 at 14:06:17
Key.ctrl_l 	 at 14:06:18
'\x16' 	 at 14:06:18
Key.ctrl_l 	 at 14:06:18
'\x01' 	 at 14:06:18
Key.shift 	 at 14:06:18
Key.pause 	 at 14:06:18
Key.ctrl_l 	 at 14:06:18
'\x03' 	 at 14:06:18
Key.ctrl_l 	 at 14:06:19
'\x16' 	 at 14:06:19
'ç' 	 at 14:06:20
'ä' 	 at 14:06:20
'à' 	 at 14:06:20
Key.backspace 	 at 14:06:21
Key.backspace 	 at 14:06:22
'à' 	 at 14:06:22
'ä' 	 at 14:06:22
'à' 	 at 14:06:22
'÷' 	 at 14:06:22
'ó' 	 at 14:06:23
Key.space 	 at 14:06:23
'ñ' 	 at 14:06:23
Key.space 	 at 14:06:23
'ê' 	 at 14:06:23
'å' 	 at 14:06:24
'é' 	 at 14:06:24
'ë' 	 at 14:06:24
'î' 	 at 14:06:25
'ã' 	 at 14:06:25
'ã' 	 at 14:06:25
'å' 	 at 14:06:25
'ð' 	 at 14:06:25
'î' 	 at 14:06:25
'ì' 	 at 14:06:25
'.' 	 at 14:06:26
Key.space 	 at 14:06:26
'ÿ' 	 at 14:06:26
Key.space 	 at 14:06:26
'í' 	 at 14:06:26
'å' 	 at 14:06:26
Key.space 	 at 14:06:27
'ì' 	 at 14:06:27
Key.backspace 	 at 14:06:27
'ï' 	 at 14:06:27
'î' 	 at 14:06:27
'í' 	 at 14:06:28
'è' 	 at 14:06:28
'ì' 	 at 14:06:28
'à' 	 at 14:06:28
